Fylke;Kommune;Organisasjon;Adresse;Nettside;Epost;Telefon;Status;Kilde;Opprettet;Sist endret
Oslo;Oslo;Pensjonistuniversitetet i Oslo;Universitetets aula, Karl Johans gate 47, 0162 Oslo;puioslo.no/;post@puioslo.no;22 34 15 55;Aktiv;Offisiell nettside;;okt.25
Oslo;Oslo;Fornebu senioruniversitet;Varierer, se nettside;https://www.fsuni.no/;;;Aktiv;Offisiell nettside;;okt.25
Oslo;Oslo;Pensjonistuniversitet Nordstrand;Postboks 109 Nordstrand 1112 Oslo;punordstrand.no;post@punordstrand.no;;Aktiv;Offisiell nettside;;okt.25
Oslo;Oslo;Sagene-Torhovˇ Eodreuniversitet;Treschows gate 2B, 0477 Oslo;deichman.no;torshov@deichman.no;;Aktiv;Offisiell nettside;;okt.25
Oslo;Oslo;Ullern kultursenter;;https://www.oslo.kommune.no/natur-kultur-og-fritid/seniorsenter/ullern-kultursenter/;;;Ukjent;Kommunens nettside;;okt.25
Oslo;Oslo;ùstensjõ Senioruniversitet;Bydel ùstensjõ (se frivilligsentral/bydelssider);;;;Delvis aktiv ? sjekk bydelens nettside / frivilligsentral;Bydel ùstensjõ ? kultur/frivilligsentral;;okt.25
Oslo;Oslo;Vestre Aker Senioruniversitet;Bydel Vestre Aker (se kirke/kulturhus/bydelssider);;;;Delvis aktiv ? sjekk bydelens nettside / frivilligsentral;Bydel Vestre Aker ? kultur/kirke;;okt.25
Oslo;Oslo;GrÅnerlõkka Senioruniversitet;Bydel GrÅnerlõkka (se kulturhus/bydelssider);;;;Delvis aktiv ? sjekk bydelens nettside / frivilligsentral;Bydel GrÅnerlõkka ? kulturhus;;okt.25
Akershus;Lillestrõm;Senioruniversitetet i Lillestrõm, SUL;;lpu.no;post@SUL-Lillestrom.no;;Aktiv;Offisiell nettside;;okt.25
Akershus;Lõrenskog;Lõrenskog Pensjonistuniversitet (LPU);Lõrenskog hus, Festplassen 1, 1473 Lõrenskog;lpu.no;post@lpu.no;;Aktiv;Offisiell nettside;;okt.25
